"__mclCluster","cluster node count","EnrichmentMap::Colouring (enrichr.gem)","EnrichmentMap::ES (enrichr.gem)","EnrichmentMap::fdr_qvalue (enrichr.gem)","EnrichmentMap::fwer_qvalue (enrichr.gem)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (enrichr.gem)","EnrichmentMap::pvalue (enrichr.gem)","name","selected","shared name"
"0","1","0.9999345672977814","NaN","6.54327022185387E-5","NaN","SMARCB1|MAML2|MAML1|ZDHHC5|SPRING1|ERFE|RBPJ|TXNDC15|ZMIZ1|TNFSF11|VPS35|CCN3|TP63|WLS|CCBE1|PRKCI|CSNK2A1|PRKCB|PIH1D1|ARMC9|PRKCA|STX1B|DEPDC1B|SFRP1|ULK3|CD226|PRKD2|TRIM16|MAML3|NECAB2|MACF1|CTBP2|KLK5|PIK3R1|GATA3|HIF1A|PRKCZ|CDKN2AIP|KLK6|C3|GHRHR|CYP27B1|TERT|PDCD10|TSPAN5|ZBTB7B|SNX5|ATP6V1C2|JAG2|CREBBP|ZRANB1|XBP1|JAG1|TSLP|HOMER1|CRADD|IGF2|IGF1|NOTCH2NLA|NOTCH2NLC|NOTCH2NLB|SMARCA4|SNW1|GKAP1|NRP1|MESP1|CITED2|GLI1|ROBO1|ING5|ESM1|DSTYK|SHH|SPIN1|RSPO2|RSPO3|RSPO1|JAK2|FGFBP3|RSPO4|EMP2|KIF7|SIRT1|SLC39A14|F3|UCHL5|KAT2B|F7|MN1|IL1B|C1QTNF12|HAP1|GAS6|ATP6V0C|GAS8|TLR2|YAP1|KANK1|CD63|GPS2|TUBD1|HTT|CUX2|RELN|MGAT5|NTF3|RPS3|FLNA|DISC1|CD74|MBD5|DMTN|IFNB1|STAT3|DAB2IP|WNT7A|KLK14|SORBS1|SULF1|SULF2|GRIN1|SKI|SMOC2|AXL|GHRH|FAS|GHRL|LGR6|LIMS2|LIMS1|CRLF2|POGLUT1|IRS1|CD80|IHH|LOXL3|FGF1|RIMS2|RIMS1|SALL1|CDH3|GRB10|EP300|NEPRO|LMO3|CD180|ADIPOQ|ERN1|SMO|RAB34|PHIP|IL6ST|JCAD|TEDC1|TEDC2|NOTCH1|NOTCH4|CHRNA7|LY96|PHB|ENHO|VTN|STK36|WNT1|DRD3|TGFB2|CAV2|BDNF|LY86|DCDC2|MT3|BMP6|GH1|IL6|BMP2|PTPRC|DLG4|IL7|CLEC6A|DLG5|PDCL|AAK1|IL7R|FGFR2|TTC23|ITGB3|LRRK2|PTEN|ILK|TNFAIP3|TREM2|SLC2A4|PKD2|CDC73|HHEX|ADAMTS3|GPER1|TMEM108|NPTN|ITGAV|NKX3-1|DACT1|PTGIS|VWF|ATP6AP2|ARNT|TGFBR1|EPN2|TRAF7|EVC|ELF3|LANCL2|BMP2K|ITGB1BP1|ITGA5|SHANK3|SHANK1|NLGN3|NLGN1|NLGN2|SRC|NRXN1|NOD2|TM2D3|AGPAT1|AGPAT2|DLL1|INS|DLL4|P2RY6|PTK2B|BAK1|SASH1|TRIM44|RWDD3|PDE6H|PDE6G|NOS3|NTRK3|PTPN11|TPD52L1|SORL1|SCIMP|KLF2|ASXL1|TSPAN14|MYO1C|TRIM39|ASXL2|BAX|TEK|MYORG","positive regulation of signal transduction","252","ENR","GO:0009967","1.0","6.54327022185387E-5","regulation signal transduction","false","regulation signal transduction"
"0","1","0.9993852984947965","NaN","6.14701505203484E-4","NaN","MAGI1|SYNPO2|PKD2L1|KCNA5|CACNA1D|CACNA1C|PKD2|NFKB1|RELA|TTN|CSRP3|CSRP2|CSRP1|MYOT|DAG1|RARA|PPARG|KCNN2|PDLIM5|PROM1|PDLIM4","actinin binding","21","ENR","GO:0042805","1.0","6.14701505203484E-4","actinin binding","false","actinin binding"
"16","4","0.997281639035952","NaN","0.0027183609640481074","NaN","ACAA2|HIBADH|ABAT|AACS|IL4I1|MCEE|ALDH2|AUH|DBT|AOX1|HMGCS2|MMUT|ACADM|HADH|ACAA1|ACADS|SLC25A44|HIBCH|ACAD8|BCKDHA|MCCC2|HMGCS1|BCKDHB|MCCC1|HADHB|ALDH3A2|HADHA|PCCA|EHHADH|IVD|PCCB|BCAT1|ALDH7A1|DLD|ALDH9A1|BCAT2|ECHS1|PPM1K|HSD17B10|ACAT2|ACAT1|HMGCL|ALDH1B1|OXCT1|OXCT2|HMGCLL1|AGXT2|ACADSB|ACSF3|BCKDK|ALDH6A1","Valine, leucine and isoleucine degradation - Homo sapiens (human),Branched-chain amino acid catabolism,branched-chain amino acid catabolic process,branched-chain amino acid metabolic process","27","ENR,ENR,ENR,ENR","KEGG:HSA00280,REAC:R-HSA-70895,GO:0009083,GO:0009081","1.0","0.0027183609640481074","branched chain amino acid catabolism","false","branched chain amino acid catabolism"
"0","1","0.9956448014590558","NaN","0.00435519854094423","NaN","ABCA1|CRP|OSBPL8|ITGB3|NR1H2|NR1H3|TREM2|ABHD5|TNF|TTC39B|NFKBIA|IL6|ITGAV|PPARG|PPARA|PTPN2|ABCG1|PNPLA2|PPARD|CES1","negative regulation of lipid storage","20","ENR","GO:0010888","1.0","0.00435519854094423","lipid storage","false","lipid storage"
"3","16","0.9991869924567045","NaN","8.130075432954092E-4","NaN","RBPJ|CLDN1|TSKU|MYLK|SOX17|SOX18|GJA5|KDR|CYP1B1|PLCE1|HOXA1|SOX9|MYOZ1|BVES|SOX4|EPHB4|CER1|ACVR1|MEF2A|CCBE1|MEF2C|NKX2-6|CXADR|SLC11A1|SERPINF2|SOX11|DNAAF4|ISL1|SYTL4|HSPG2|EREG|RBP4|MTHFD1|MYL2|MYL3|ALPK3|ALPK2|ZFPM2|ZFPM1|OBSL1|MACF1|FUT10|PDGFB|GATA5|PDGFA|GATA4|GATA3|PPL|EVPL|APELA|FLRT2|FLRT3|HMOX1|NKX2-5|FER1L5|JAG1|FOXF1|INSR|FZD7|PDE2A|GDF2|FN1|MICAL2|IGF1|PTK2|POU6F1|TH|ID2|ID1|C6ORF89|TDGF1|LACRT|DAND5|ROBO2|ACVRL1|MESP2|NRP1|RYR2|MESP1|CDKN1A|CDKN1B|CITED2|TCF25|TCF21|ADM|SMG9|MIA3|EVPLL|PCSK5|MMP21|ROBO1|GLI2|AKAP13|EPB41L4B|PPP3CA|SHH|NIPBL|CSRP3|HEY1|SMPD1|HEY2|SH3PXD2B|ANKRD1|ANXA6|MYBPC3|LEFTY1|SYK|SLC2A10|NCOA6|TNNC1|HEG1|NOG|MYOF|CACYBP|PROX1|ZDHHC16|MMP12|KAT2B|KAT2A|TNNT2|ANGPTL3|CRELD1|ENG|POPDC2|CRB2|POPDC3|FOXC2|SPRR3|RAMP2|FOXC1|LRRC10|CRIP1|RASIP1|PRICKLE4|PAK1|GPC3|HAS2|MEF2D|ODAM|WNT7A|SORBS2|POU4F1|POU4F2|VEGFA|WDR11|DCBLD2|FKBP1A|HEYL|COL3A1|WT1|DLC1|TCAP|AGGF1|EPPK1|MEGF8|MIXL1|FHOD3|EEF1AKMT4-ECE2|MYLK2|SCARB1|RAB3A|FGF1|FGF2|MYLK3|SLC8A1|CDH5|EFEMP2|C1ORF127|STK11|SALL1|FGF8|CDH2|BORCS8|KRT6A|PDGFRB|PDGFRA|FBXW7|OSR1|TPM1|WNT5A|TSC2|OLFM1|LOX|JAML|COL4A1|APLNR|PKP2|MATR3|RAF1|ARL8B|CUL7|NDRG4|NOTCH1|NOTCH4|SLC1A1|ALOX15|CACNA1C|CORO1B|EFNB2|SCUBE1|ADAP2|ADGRG6|DVL2|MYH11|SMYD4|NDUFV2|STRA6|TFAP2B|SMAD4|TGFB2|TGFB1|SMAD3|CAV1|GLMN|IFT122|BMP7|SYT7|SMAD7|BMP5|BMP4|BMP2|NF1|MDM4|TAB2|HPSE|FGF12|FGFR2|BMPR1A|FBN1|FGF10|TRIM72|BMP10|BMPR2|FLT1|FLT4|ITGB3|CHD7|HTR2B|PTEN|DYSF|ECE1|LDB3|PKD2|PKD1|SPRED1|SGCD|CASP8|ITGB8|UTY|ADAMTS9|SGCG|KDM6A|DSP|KDM6B|CFC1B|EGFL7|MKKS|MYOCD|DST|NRG1|FOXL1|TGFBR1|TGFBR2|TGFBR3|SYNPO2L|PIK3CA|RASA1|HAND2|HAND1|RBM20|MYH9|MYH6|MYH7|PLEC|HPGD|LRP1|LAMA1|NXN|SRF|LRP5|PRCP|LRP2|TBXT|HDAC9|TTN|INS|DLL4|PDLIM1|TGFBR3L|PDLIM3|HECTD1|PDLIM2|ERBB3|ERBB4|TBX20|ERBB2|S1PR1|HES1|SLIT3|TNNI3|SLIT2|PDLIM5|PDLIM4|PDLIM7|TBX1|NOS3|NTRK3|AHNAK2|PTPN11|CFLAR|TBX5|ACVR2B|TBX19|SGCZ|TBX3|CFC1|TBX2|APLN|ACTC1|SYT11|CCM2|TEK|BCOR|FOLR1","ventricular septum morphogenesis,artery development,coronary vasculature morphogenesis,artery morphogenesis,muscle tissue morphogenesis,blood vessel morphogenesis,ventricular cardiac muscle tissue morphogenesis,ventricular septum development,ventricular compact myocardium morphogenesis,heart trabecula morphogenesis,heart morphogenesis,cardiac muscle tissue morphogenesis,cardiac muscle cell development,heart development,wound healing,circulatory system development","45","ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR","GO:0060412,GO:0060840,GO:0060977,GO:0048844,GO:0060415,GO:0048514,GO:0055010,GO:0003281,GO:0003223,GO:0061384,GO:0003007,GO:0055008,GO:0055013,GO:0007507,GO:0042060,GO:0072359","1.0","8.130075432954092E-4","tissue morphogenesis ; wound healing","false","tissue morphogenesis ; wound healing"
"0","1","0.9971926837084863","NaN","0.00280731629151363","NaN","EPO|DENND1A|RASGRF1|KIF14|IRS2|STK19|FOXM1|CRKL|ARHGAP44|EPS8|FLCN|AKAP13|SYNGAP1|RASGEF1A|OPHN1|ARHGDIA|NUP62|ARHGDIB|PLCE1|JAK2|EPHB2|RALGPS1|STARD8|ARHGEF18|MMD2|LRRD1|NGF|ARFGAP1|VAV1|BCR|MADD|RABL3|RAPGEF1|STAMBP|ARHGEF2|RAF1|SQSTM1|FBP1|ARF6|NOTCH2|KANK2|KANK1|LRRC59|NOTCH1|SHC1|MAPKAP1|ARHGEF28|DENND3|ARHGAP17|RASAL3|RASGRP1|RASGRP4|GABARAP|SH3BP1|PDCD10|EPS8L1|MFN2|SHOC2|EPS8L2|EPS8L3|NTRK1|LYN|STARD13|TGFB2|CADM4|DENND4B|DENND4A|DENND4C|SPRY4|RDX|ERBIN|DAB2IP|MYO9B|IGF1|EPOR|KBTBD6|SGSM3|DLC1|SPRY3|SPRY2|SPRY1|GRB2|KBTBD7|LZTR1|OGT|FGF10","regulation of Ras protein signal transduction","86","ENR","GO:0046578","1.0","0.00280731629151363","Ras protein transduction","false","Ras protein transduction"
"0","1","0.9989415398959026","NaN","0.00105846010409736","NaN","FOXA1|PTPRU|MEGF10|CITED2|SIRPG|PTPN23|THY1|CXCL13|CD3E|AGER|TNF|CX3CL1|FUT3|FSTL3|FUT7|PODXL|MDK|CCL5|FLOT1|GCNT2|PIEZO1|TNFSF11|JAK1|FGB|IL10|MAGI1|FGA|RNASE10|FGG|SERPINF2|PLAUR|ANK3|BMP7|SMAD7|ADAM19|TJP1|AFDN|LCK|CEACAM6|IL1B|CD47|DENND6A|PLPP3|NODAL|SKAP1|CD44|FOXA2","positive regulation of cell-cell adhesion","47","ENR","GO:0022409","1.0","0.00105846010409736","regulation of cell-cell adhesion","false","regulation of cell-cell adhesion"
"0","1","0.9979772075011824","NaN","0.00202279249881767","NaN","NRP1|PLXND1|PXN|PRKX|FSTL1|CORO1B|LOXL2|DPP4|CDH5|SOX18|ADGRA2|ABL1|LPXN|CYP1B1|CCN3|PRSS3|LGALS8|STARD13|EGR3|S100A2|STAT1|NOS3|TNFSF12|PLEKHG5|EMP2|RHOA|VEGFA|NR4A1|PTP4A3|PIK3CA|FAP|GIPC1|ID1|RAB13|LGALS12|MYH9|CDH13|S100P|SCG2","endothelial cell migration","39","ENR","GO:0043542","1.0","0.00202279249881767","endothelial cell migration","false","endothelial cell migration"
"20","3","0.9968993798129056","NaN","0.00310062018709443","NaN","ZFYVE9|STMN2|F11R|CRKL|ZMIZ1|ZMIZ2|KDR|AKT1|CPNE3|SOX9|SOX6|CER1|SOX5|ACVR1|MED1|MEF2C|FOXH1|KNSTRN|RUNX2|OVOL2|CLDN5|TWSG1|SFRP1|GAREM1|PARD3|MT1G|PRKD2|PRKD1|UBA52|URI1|TWF2|PDGFB|IQGAP1|NLK|ADAMTS12|PRKCZ|INPP5K|PLCG1|STAT5B|WNT10A|JUN|PLK5|EGR3|PDE2A|GDF2|CGN|GDF5|PTK2|SETX|EHD1|GDF9|COL1A2|CILP|ID1|PDE3A|SNAI2|TDGF1|FERMT2|LGMN|ACVRL1|NRP1|CITED1|WFIKKN2|PTPRK|LRRC32|DSTYK|HYAL1|HYAL2|ANKRD1|RACK1|EMD|APPL2|APPL1|LEFTY1|DUSP3|ANXA1|FSHB|SPHK1|FOS|SIRT1|RHOA|SIRT2|MTSS2|RAPGEF1|RAPGEF2|GAS1|MAPT|CD44|ENG|FOXC1|RAMP2|EGFR|RELA|NTF4|HAS1|NTF3|GCNT2|HAS2|RPS27A|LEFTY2|GDF10|WWOX|GDF15|USP9X|KIDINS220|USP9Y|DAB2IP|WNT7A|VEGFA|SKI|FKBP1A|COL3A1|ZYX|CTNNB1|LIMS1|NRROS|AMHR2|PDCD5|SYAP1|CIB1|NR3C1|CDH5|ZFP36|FNTA|IBSP|MAP3K7|PDE8A|MAP2K3|SEMA6A|HGF|WNT5A|MAGI2|ERN1|EEF1A1|ACAP2|RAB35|MAPKAPK2|ADAM9|DLX1|NOTCH1|DLX5|SHC1|PXN|HTRA2|LTBP2|ZFP36L2|CORO1B|ZFP36L1|RAP1A|UBB|UBC|LPXN|WNT2|MAP2K5|WNT4|SMAD2|SMAD1|TGFB2|SMAD4|SMAD3|TGFB1|TGFB3|SMURF1|BDNF|SMAD9|SMAD6|SMAD5|BMP7|PHOX2B|BMP6|SMAD7|BMP4|VIL1|NR4A1|BMP2|BAMBI|BMPR1B|BMPR1A|ITGB1|BMPR2|FLT1|CXCL8|ITGB5|FLT4|HSPB1|ARRB2|DUSP15|TMEM100|HJV|NOS1|ADAMTS7|PDPK1|MARS1|ARHGEF18|APOA1|NGF|TGFBR1|TGFBR2|TGFBR3|DUSP22|XCL1|ITGB1BP1|VSTM2A|USP15|HPGD|SRC|TGFBRAP1|FURIN|NDNF|LRP2|CBL|ACVR1B|DLL4|TGFBR3L|CLEC3B|MAPK7|PARD6A|ACVR1C|CCL5|ERBB2|CCL2|NTRK1|TBX1|NTRK2|NTRK3|PTPN11|PTPN12|MAPK14|KLF4|ACVR2B|ACVR2A|RPS6KB1|SPRY2|BCAR1|ZPR1","cellular response to transforming growth factor beta stimulus,nerve growth factor signaling pathway,cellular response to growth factor stimulus","94","ENR,ENR,ENR","GO:0071560,GO:0038180,GO:0071363","1.0","0.00310062018709443","response to growth factor","false","response to growth factor"
"2","23","0.9992188383253842","NaN","7.81161674615688E-4","NaN","VIT|MAP10|PRSS1|AVIL|SERPINE1|COL12A1|STMN2|SCX|STMN3|DMP1|STMN4|F11R|CAPN15|SAMD14|CAPNS1|UBASH3B|MPRIP|SOX17|CAPNS2|CREB3L1|STMN1|CYP1B1|PRSS2|NCKAP5|CXADR|COL23A1|SERPINF2|PRKCA|WDR73|HSPG2|CD2AP|BCAN|BIN3|OPTC|RUFY3|PRKD1|FREM1|UBA52|FREM2|COL13A1|FLII|PDGFB|PDGFA|FIGNL2|SLAIN2|THY1|ADAMTS12|ADAMTS10|ADAMTS16|ADAMTS15|ADAMTS14|NCSTN|ADAMTS13|FLRT2|ADAMTS19|ADAMTS18|FIGNL1|ADAMTS17|MYO6|SERPINH1|ELANE|PLK3|FYB2|FYB1|COL24A1|JUP|RNASE10|FN1|GP6|LYZ|GP5|HRNR|COL1A1|GP9|COL1A2|FAT1|MARCOL|FERMT2|FERMT3|SETD2|NCAN|ELN|MMP21|TRIOBP|MMP20|ADAMTSL1|MMP25|MMP24|ADAMTSL5|MMP27|MMP26|ADAMTSL4|ADAMTSL3|ADAMTSL2|MMP28|TIMP2|COL10A1|NEFL|TIMP1|TPSAB1|CGNL1|DUSP4|DUSP5|DUSP2|EXOC8|RIPK3|DUSP1|BGN|TEX14|EMP2|MMP10|MMP12|BACE1|MMP11|MMP14|CD200R1|COL2A1|MMP13|MMP16|MMP15|PXDN|MMP17|ANGPTL3|CDC42EP2|MMP19|COL21A1|GAS6|APCS|COL11A1|COL11A2|FIGN|PRAM1|GGA2|GGA1|GGA3|H3C13|HAS1|SPP1|HAS3|LEO1|HAS2|DMD|RPS27A|P4HTM|JAM2|JAM3|GSN|ODAM|USP9X|COL22A1|SNCAIP|SMOC2|COL3A1|SMOC1|CENPJ|ZYX|AGRN|FMOD|KLKB1|MIXL1|CEP126|COL16A1|ITGA2B|TNC|PLOD3|PLOD2|PLOD1|FGF2|EFEMP2|EFEMP1|SLK|IBSP|TNN|CDH1|ZNF207|TNR|CHP1|SLC39A8|SERF1A|COL27A1|TPM4|TPM3|TPM2|TPM1|TLE6|CLIP3|CLIP2|CLIP1|CLIP4|PKP2|ADAM9|ADAM8|IAPP|DSC2|COL17A1|SEMA7A|CD151|TUBGCP2|CUL3|RHOBTB3|DPT|HMMR|CORO1A|RHOBTB1|CORO1B|RHOBTB2|CORO1C|MTM1|VTN|ABL1|ZNF304|TPPP|COL28A1|CCDC13|TRAPPC4|OTOL1|GFAP|DAB2|BFSP2|BFSP1|P4HA1|P4HA2|PTPRA|ITGA10|P4HA3|LHX1|ITGA11|NF1|TUBGCP5|MDM2|PIN1|TUBGCP6|TUBGCP3|TUBGCP4|LAT|ITGB1|BMP10|ITGAM|HSP90AB1|ITGB5|ITGB4|COL14A1|ITGB3|ITGB2|ITGAE|ITGAL|CDC73|ADAMTS4|ADAMTS5|ADAMTS2|ADAMTS3|ADAMTS1|ITGAX|EMILIN3|ITGB8|EMILIN2|ITGAV|ITGB7|EMILIN1|PGM5|ITGB6|ATP7A|ADAMTS8|ADAMTS9|ADAMTS6|ADAMTS7|DSP|VWF|ITGA4|DST|ITGA3|COL25A1|ITGA2|ITGA1|APOA1|APOA4|ASPN|ADAMTS20|ITGAD|PIK3CA|ITGA8|PECAM1|ITGA7|ITGA6|DSG2|EVL|ITGA5|LCP1|ITGA9|COL15A1|PCOLCE2|SRC|VPS4B|NTN4|LRP4|STMND1|KATNB1|NDNF|FURIN|PLG|TSPAN33|THSD4|CDC42|TTR|DNAJB6|SH3BP1|KATNA1|XIRP1|FSD1|WHAMM|COL26A1|MARCKSL1|CMA1|NCKAP5L|HIP1R|MYO19|SORL1|MFAP5|MYO1D|MFAP4|MYO1E|TSPAN15|MYO1B|MARCKS|TSPAN14|FRAS1|MYO1C|MFAP1|MYO1A|MFAP3|MFAP2|ST7|TLL2|TLL1|CCM2|P4HB|MYO1H|RECK|BCAR1|MYO1F|MYO1G|APP|SPARC|KHDC3L|ICAM2|ICAM3|ICAM4|UBE2L6|ICAM5|ICAM1|POF1B|BSG|DAG1|KDR|MYOZ1|B2M|SOX7|MUSK|MIA|PHYKPL|ACTN1|CTRB2|CTRB1|P3H2|MYO7B|P3H1|P3H4|P3H3|MYO7A|KRT9|KATNAL1|KATNAL2|NINJ1|COL8A2|COL8A1|PLPP3|SDC4|SDC2|TXK|SDC3|CTR9|KLK5|KLK4|KLK2|CD1D|RTF1|KLK7|APH1A|SPAST|APH1B|H3C1|TSPAN5|A2M|GPM6B|ZBED3|CARMIL1|RCC2|SIAH2|SIAH1|MYO5A|PARVA|GDF5|PTK2|CCDC88B|CCDC88A|MYO5B|CCDC88C|MYO5C|COL9A1|CORO6|SDC1|ITGBL1|PAF1|COL9A3|COL9A2|CORO7|CD200|ITM2B|NODAL|DDR1|COL18A1|NRP1|PTPRS|ECM2|HIP1|KIF14|CTSV|PRL|KRT20|CTSS|PCM1|SH3PXD2A|CTSL|CTSK|SH3PXD2B|RAC2|RAC3|CTSG|QSOX1|CD36|RAC1|CTSD|H3-3A|CTSB|PSENEN|SYK|GP1BB|IZUMO1|NME2|H4-16|RHOG|RHOH|KIF24|GP1BA|RHOF|RHOC|RHOD|RHOA|OOEP|RHOB|HCK|KIF9|CEACAM1|KIF2A|CEACAM6|MMP23B|MATN1|KIF2C|CD47|CEACAM8|ARHGEF2|MAPT|KIF2B|ALDOA|MFGE8|MATN4|CD44|MATN3|DBN1|DDR2|PRKN|TNXB|TMPRSS6|PAPLN|NOXO1|NEDD9|CAPG|PTN|COL19A1|CST3|RELN|PDPN|CTNNA3|CD58|DYNC1H1|ERBIN|CRIPT|LILRB2|COLQ|DSPP|MAD2L2|FKBP1A|TPPP3|CD40LG|TPPP2|SEMG1|SAA1|EPPK1|LOXL3|INPPL1|LOXL4|CIB1|LOXL1|LOXL2|COMP|TGM1|CAPN8|CAPN9|CAPN6|CAPN7|CAPN5|NPPA|CAPN2|CAPN3|CAPN1|WASHC1|TGM3|CAST|TMOD1|KRT71|EOMES|POSTN|TMOD4|TMOD3|SPINK5|APLP1|TMOD2|ADAM11|CASK|ADAM10|EPDR1|PCOLCE|NPNT|ERMN|KLHL41|ADAM19|ADAM17|COL4A2|ADAM15|LOX|MAP7D3|COL4A1|COL4A4|COL4A3|ADAM12|COL4A6|ELMO1|COL4A5|ELMO2|ELMO3|PPIB|HDGFL3|FBN2|FBN3|CALCA|LTBP4|HTRA1|FBLN1|LTBP2|ARHGAP17|LTBP3|PSEN1|NID1|NID2|LTBP1|FBLN2|FBLN5|CAMSAP1|CAMSAP2|ARHGAP12|SPTA1|SCUBE3|C6ORF15|SCUBE1|UBB|KASH5|CHAD|UBC|NLRP5|MYH11|RIPK1|TGFB2|CRTAP|VCAM1|TGFB1|MPIG6B|TGFB3|HMGA2|ISG15|KLHL24|HOOK3|INHBA|BMP7|ARHGAP25|BMP4|CAMSAP3|BMP2|DLG1|KIF18A|BMP1|KIF18B|NAT8|COL5A1|HOOK2|HOOK1|COL5A3|TRPV4|COL5A2|COL20A1|TGFBI|FGF13|FBN1|COLGALT2|LAMC3|PLEK|TCHH|LMOD1|ILK|LAMC2|LAMC1|RND2|PPP1R9A|RND3|HAPLN1|LMOD3|PPP1R9B|LMOD2|RND1|CALB1|CASP3|FLOT1|MADCAM1|COLGALT1|FGB|KDM6B|FGA|NAT8B|MMP7|MMP1|MMP2|MMP3|FGG|SHROOM2|SHROOM3|SHROOM1|MMP8|MMP9|CKAP5|DCN|TGFBR1|SHROOM4|TRDN|GREM1|FGR|VCAN|COL6A2|COL6A1|GFOD2|COL6A3|MYH9|COL6A6|ITGB1BP1|COL6A5|DOCK1|CDH17|B4GALT7|MYH6|PLEC|LTF|CLRN1|LAMA5|CAMK2D|LAMA2|LAMA1|PLA2G1B|DCTN1|LAMA4|NRXN1|LAMA3|THBS2|THBS1|THBS4|THBS3|INS|ACAN|SV2C|SV2B|SV2A|SPOCK2|SPOCK3|TBX20|PTK2B|NCAM1|SNCA|LAMB3|LAMB2|LUM|LAMB4|LAMB1|CD2|CAPN13|CAPN14|CAPN11|ACTC1|CAPN12|TEC|DES|CAPN10|MYO15A|COL7A1|VIM","ECM-receptor interaction - Homo sapiens (human),ECM proteoglycans,extracellular structure organization,Assembly of collagen fibrils and other multimeric structures,Non-integrin membrane-ECM interactions,Crosslinking of collagen fibrils,Elastic fibre formation,procollagen-proline dioxygenase activity,collagen fibril organization,extracellular matrix organization,collagen-activated signaling pathway,Collagen formation,heterotypic cell-cell adhesion,actin-mediated cell contraction,external encapsulating structure organization,Extracellular matrix organization,integrin-mediated signaling pathway,supramolecular fiber organization,endodermal cell differentiation,Integrin cell surface interactions,endoderm formation,mesodermal cell differentiation,Collagen biosynthesis and modifying enzymes","98","ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR","KEGG:HSA04512,REAC:R-HSA-3000178,GO:0043062,REAC:R-HSA-2022090,REAC:R-HSA-3000171,REAC:R-HSA-2243919,REAC:R-HSA-1566948,GO:0019798,GO:0030199,GO:0030198,GO:0038065,REAC:R-HSA-1474290,GO:0034113,GO:0070252,GO:0045229,REAC:R-HSA-1474244,GO:0007229,GO:0097435,GO:0035987,REAC:R-HSA-216083,GO:0001706,GO:0048333,REAC:R-HSA-1650814","1.0","7.81161674615688E-4","ECM remodelling","false","ECM remodelling"
