gene_id	gene_symbol	log2FC	basemean	pval	padj
ENSG00000137331.12	IER3	2.1744681746943	3221.2426005115	1.05188314473224e-42	1.35503586704407e-38
ENSG00000096696.14	DSP	1.36284269210445	1963.50353195511	7.74749564213858e-31	4.99016194310146e-27
ENSG00000134198.10	TSPAN2	2.58512250250202	842.643919594732	1.90013703643772e-23	8.15918843446355e-20
ENSG00000148848.14	ADAM12	1.98464363024572	1536.28314521652	1.80022131622636e-20	5.797612748907e-17
ENSG00000115129.14	TP53I3	1.23599727241995	1642.88113880667	1.13977582381017e-17	2.93651843246452e-14
ENSG00000072682.18	P4HA2	1.756261337156	3906.69294378245	2.13963914566727e-17	4.59380524574764e-14
ENSG00000133083.15	DCLK1	-2.09546560329099	237.539291591787	3.47079491770698e-17	6.38725430427162e-14
ENSG00000166923.12	GREM1	3.08397243510883	219.988900694583	1.42222873497828e-16	2.29014382049877e-13
ENSG00000138650.9	PCDH10	2.10135897728128	4012.78582239763	3.02065690259923e-16	4.32356691325369e-13
ENSG00000206190.12	ATP10A	2.12600919495501	218.740215848298	1.03442362731115e-15	1.33254451670222e-12
ENSG00000138623.10	SEMA7A	2.65063944671149	408.949440401427	2.78182510459928e-15	3.25777009067709e-12
ENSG00000070404.10	FSTL3	2.43091867771832	5078.47358000927	1.43233593003124e-14	1.53761262088854e-11
ENSG00000176170.14	SPHK1	1.4094160122481	2242.15459771242	6.40884156962885e-14	6.35066900768915e-11
ENSG00000120708.17	TGFBI	2.47663239366197	36825.4410451721	4.70931679331007e-13	3.79158868321377e-10
ENSG00000119681.12	LTBP2	1.80981765926685	31242.4479648515	4.45149512963392e-13	3.79158868321377e-10
ENSG00000182985.17	CADM1	1.68077777079343	196.80763011164	4.40135873292621e-13	3.79158868321377e-10
ENSG00000203805.11	PLPP4	1.33270564986555	1305.69925175634	6.68892014419912e-12	5.06862760573959e-09
ENSG00000095587.9	TLL2	1.88499381415796	444.104810864723	7.94466708852455e-12	5.68573341302074e-09
ENSG00000139211.6	AMIGO2	1.85239718864495	3096.26469167413	9.79383150696963e-12	6.64021776172541e-09
ENSG00000135919.14	SERPINE2	2.16455594056236	11587.555587234	1.35459642267495e-11	8.30948148423746e-09
ENSG00000119711.13	ALDH6A1	-1.22135120272108	550.442092291473	1.33031847899341e-11	8.30948148423746e-09
ENSG00000174792.11	ODAPH	10.6973215378896	2806.77378848092	1.86940947797729e-11	1.07161561679209e-08
ENSG00000183691.6	NOG	1.96676786829242	971.643754582293	1.91330221908229e-11	1.07161561679209e-08
ENSG00000172348.14	RCAN2	-1.04490131119411	1798.83152067915	2.71101158638483e-11	1.45513546899206e-08
ENSG00000276168.1	RN7SL1	-1.07976725796889	933.630184071753	6.58668091473121e-11	3.3939849417427e-08
ENSG00000177791.12	MYOZ1	3.467698616266	102.230212979302	1.03257332265238e-10	5.11600367015693e-08
ENSG00000164283.13	ESM1	4.28789038142436	2576.79857027377	1.20748104353193e-10	5.76102622325123e-08
ENSG00000196549.12	MME	-2.48899317885735	3266.7583083078	1.52825314223122e-10	7.0310560636509e-08
ENSG00000124225.16	PMEPA1	2.49588698242923	426.268491766923	2.84843956355732e-10	1.22311994859151e-07
ENSG00000187498.16	COL4A1	1.8880722054698	16568.7282612656	2.76237112631299e-10	1.22311994859151e-07
ENSG00000113140.11	SPARC	1.38084186480783	52082.7957347231	3.34275311615184e-10	1.38907566587961e-07
ENSG00000164574.16	GALNT10	1.11208960182645	5484.58808390561	3.98441181165814e-10	1.60397477993063e-07
ENSG00000159251.8	ACTC1	3.62089759822658	315.849263434336	5.82962338257322e-10	2.27567298225176e-07
ENSG00000106537.8	TSPAN13	2.29069165479048	417.217595316669	7.78957624706189e-10	2.95133297690151e-07
ENSG00000133216.16	EPHB2	1.48476032526358	888.962844259129	9.65373854960642e-10	3.553127428458e-07
ENSG00000182541.18	LIMK2	1.00711144565494	1608.70938125114	1.02866491847754e-09	3.68063340042703e-07
ENSG00000175899.15	A2M	-2.41243696945957	4032.80759691283	1.05716065685297e-09	3.68063340042703e-07
ENSG00000197321.15	SVIL	-1.46090758488863	4593.18234905675	2.7532916535256e-09	9.33365870545177e-07
ENSG00000175183.10	CSRP2	0.985627510551768	1059.25317663567	3.19250558499009e-09	1.0545091524575e-06
ENSG00000184226.15	PCDH9	1.00156818743911	1211.75930187583	3.59591383457467e-09	1.15806405042477e-06
ENSG00000170558.10	CDH2	1.88493072035281	4678.39367401073	3.84262125571277e-09	1.20733285405102e-06
ENSG00000213694.6	S1PR3	-1.27099386286089	313.729899319421	4.14929573092759e-09	1.27264827632879e-06
ENSG00000260549.2	MT1L	1.59892030848498	935.805679134848	4.24839209405817e-09	1.27273923152691e-06
ENSG00000166741.8	NNMT	1.19806469517899	1602.80391615235	4.50591628365689e-09	1.31920939922882e-06
ENSG00000178726.7	THBD	1.81062894961347	666.968255398634	7.08920101650461e-09	2.02940194432472e-06
ENSG00000079931.15	MOXD1	-1.25565003746166	770.539295214487	8.46338385845827e-09	2.37011545357955e-06
ENSG00000153214.11	TMEM87B	1.71269634881227	1532.86686694155	9.05586426946907e-09	2.48207752168725e-06
