"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"unique"
"hsa-miR-122-5p"	3.88950985722435	8.01422944110907	72.5064406970236	1.66487713434469e-17	9.58969229382541e-15	FALSE
"hsa-miR-146b-5p"	-1.18918140246106	7.69900058554852	38.5135610753228	5.43745484034351e-10	1.56598699401893e-07	FALSE
"hsa-miR-99a-5p"	-1.13531643311597	7.59742668043698	31.9515153212978	1.580690185579e-08	3.03492515631168e-06	FALSE
"hsa-miR-223-3p"	2.9916053083437	0.876780915234866	26.1769451750123	3.1151966082858e-07	4.48588311593156e-05	TRUE
"hsa-miR-184"	2.09894598832627	0.591860678148213	25.1431319508686	5.32288866853056e-07	6.13196774614721e-05	FALSE
"hsa-miR-3065-5p"	1.74823811220611	4.664400025218	24.7618849319291	6.48675804770369e-07	6.22728772579554e-05	FALSE
"hsa-miR-451a"	3.06661380427569	-0.410753834454345	23.0553233769123	1.57406078315941e-06	0.000129522715871403	TRUE
"hsa-miR-23a-5p"	1.33530777735687	2.54123903228838	21.6542416552235	3.26487245364021e-06	0.000220890151458227	FALSE
"hsa-miR-15a-5p"	-0.847821942477303	7.62626034758887	21.5476749548037	3.4514086165348e-06	0.000220890151458227	FALSE
"hsa-miR-1275"	1.6074030112479	2.69390724875014	20.9061933454103	4.82332597563851e-06	0.000277823576196778	FALSE
"hsa-miR-181b-5p"	0.84679292182543	8.33383234718728	19.1122663704479	1.23250199576537e-05	0.000604811292384408	FALSE
"hsa-miR-660-5p"	-1.10506709622233	6.98270505414756	19.0701190548499	1.26002352580085e-05	0.000604811292384408	FALSE
"hsa-miR-6724-5p"	1.68099595783705	2.64079336139352	18.7347675800643	1.50218475954074e-05	0.000665583401150357	FALSE
"hsa-miR-204-5p"	-1.00292993665162	6.47068635235642	17.1596625739127	3.43656801364896e-05	0.00141390226847272	FALSE
"hsa-miR-210-3p"	0.86964050718757	6.62243964404495	16.4118888937187	5.09645687127821e-05	0.00195703943857083	FALSE
"hsa-miR-183-5p"	1.65353166388118	3.1084480016389	15.7363853745391	7.28100698011374e-05	0.00262116251284095	FALSE
"hsa-miR-142-5p"	1.79433406949089	0.330245493602143	15.5587730495317	7.99796482602526e-05	0.00270989867046503	TRUE
"hsa-miR-3065-3p"	1.63401490815163	1.9933399926805	15.1287330550804	0.000100423155835981	0.00321354098675139	FALSE
"hsa-miR-6529-5p"	3.75331932353849	-0.0227521176831361	13.7321432198487	0.000210815479365832	0.00639103769024838	TRUE
"hsa-miR-378a-3p"	-0.803346284925553	6.5122060870249	13.1044064840572	0.000294601996136431	0.00848453748872922	FALSE
"hsa-miR-708-5p"	0.854981213213994	8.22538809688228	12.8995277530788	0.000328665049389769	0.00901481278326224	FALSE
"hsa-miR-19b-3p"	-0.755266961091094	8.98664055431742	12.7970166625162	0.000347172538239338	0.00908960827390266	FALSE
"hsa-miR-218-5p"	-0.692895852688477	11.1292348052128	12.3996047967613	0.00042942472303553	0.0103528269908227	FALSE
"hsa-miR-101-3p"	-0.693320051627015	10.8844565455271	12.3911747033324	0.000431367791284277	0.0103528269908227	FALSE
"hsa-miR-24-2-5p"	0.747219254207552	3.78868513514315	11.807342746482	0.000589975763175768	0.0135930415835697	FALSE
"hsa-miR-129-5p"	0.878824592521757	5.08237125420716	11.3305583191314	0.000762419750319191	0.0168905298532252	FALSE
"hsa-miR-30b-5p"	-0.73019401756377	7.29717608676461	10.9347562201981	0.000943769022786038	0.0201337391527688	FALSE
"hsa-miR-335-5p"	-1.02805262276804	9.87769353070579	10.8133911963415	0.00100768551754127	0.0207295306465633	FALSE
