mirnet,mir_acc,mir_id,symbol,entrez,embl,gene_name,action_type,pmid,mbv
miRNet-hsatf-1,MI0000681,hsa-mir-155,AGO2,27161,ENSG00000123908,argonaute RISC catalytic component 2,Repression,24263100,v22
miRNet-hsatf-2,MI0000734,hsa-mir-106b,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation(feedback),24798859,v22
miRNet-hsatf-3,MI0000449,hsa-mir-132,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation,25617893,v22
miRNet-hsatf-4,MI0000449,hsa-mir-132,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation,26377202,v22
miRNet-hsatf-5,MI0000288,hsa-mir-212,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation,25617893,v22
miRNet-hsatf-6,MI0000288,hsa-mir-212,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation,26377202,v22
miRNet-hsatf-7,MI0000082,hsa-mir-25,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation(feedback),24798859,v22
miRNet-hsatf-8,MI0000095,hsa-mir-93,AHR,196,ENSG00000106546,aryl hydrocarbon receptor,Activation,24798859,v22
miRNet-hsatf-9,MI0000066,hsa-let-7e,AKT1,207,ENSG00000142208,AKT serine/threonine kinase 1,Activation,19699171,v22
miRNet-hsatf-10,MI0000681,hsa-mir-155,AKT1,207,ENSG00000142208,AKT serine/threonine kinase 1,Repression,19699171,v22
miRNet-hsatf-11,MI0000271,hsa-mir-181c,AKT1,207,ENSG00000142208,AKT serine/threonine kinase 1,Activation,19699171,v22
miRNet-hsatf-12,MI0000078,hsa-mir-22,AKT1,207,ENSG00000142208,AKT serine/threonine kinase 1,Activation(feedback),20523723,v22
miRNet-hsatf-13,MI0000737,hsa-mir-200a,AKT2,208,ENSG00000105221,AKT serine/threonine kinase 2,Regulation,22809628,v22
miRNet-hsatf-14,MI0000342,hsa-mir-200b,AKT2,208,ENSG00000105221,AKT serine/threonine kinase 2,Regulation,22809628,v22
miRNet-hsatf-15,MI0000650,hsa-mir-200c,AKT2,208,ENSG00000105221,AKT serine/threonine kinase 2,Regulation,22809628,v22
miRNet-hsatf-16,MI0000078,hsa-mir-22,AKT2,208,ENSG00000105221,AKT serine/threonine kinase 2,Activation,20523723,v22
miRNet-hsatf-17,MI0000078,hsa-mir-22,AKT3,10000,ENSG00000117020,AKT serine/threonine kinase 3,Activation(feedback),20523723,v22
miRNet-hsatf-18,MI0000078,hsa-mir-22,AKT3,10000,ENSG00000275199,AKT serine/threonine kinase 3,Activation(feedback),20523723,v22
miRNet-hsatf-19,MI0000470,hsa-mir-125b-2,APEX1,328,ENSG00000100823,apurinic/apyrimidinic endodeoxyribonuclease 1,Activation,25728837,v22
miRNet-hsatf-20,MI0000822,hsa-mir-133b,APEX1,328,ENSG00000100823,apurinic/apyrimidinic endodeoxyribonuclease 1,Activation,25728837,v22
miRNet-hsatf-21,MI0000064,hsa-let-7c,AR,367,ENSG00000169083,androgen receptor,Repression,23503464,v22
miRNet-hsatf-22,MI0000437,hsa-mir-1-2,AR,367,ENSG00000169083,androgen receptor,Activation,25802280,v22
miRNet-hsatf-23,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,androgen receptor,Activation,18056640,v22
miRNet-hsatf-24,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,androgen receptor,Repression,23503464,v22
miRNet-hsatf-25,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,androgen receptor,Activation,25728837,v22
miRNet-hsatf-26,MI0000822,hsa-mir-133b,AR,367,ENSG00000169083,androgen receptor,Activation,23451058,v22
miRNet-hsatf-27,MI0000822,hsa-mir-133b,AR,367,ENSG00000169083,androgen receptor,Activation,25728837,v22
miRNet-hsatf-28,MI0000461,hsa-mir-145,AR,367,ENSG00000169083,androgen receptor,Repression,26304926,v22
miRNet-hsatf-29,MI0000071,hsa-mir-17,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-30,MI0000272,hsa-mir-182,AR,367,ENSG00000169083,androgen receptor,Activation,27109471,v22
miRNet-hsatf-31,MI0000072,hsa-mir-18a,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-32,MI0000486,hsa-mir-190a,AR,367,ENSG00000169083,androgen receptor,Repression(feedback),26314494,v22
miRNet-hsatf-33,MI0000073,hsa-mir-19a,AR,367,ENSG00000169083,androgen receptor,Activation,23451058,v22
miRNet-hsatf-34,MI0000073,hsa-mir-19a,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-35,MI0000074,hsa-mir-19b-1,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-36,MI0000076,hsa-mir-20a,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-37,MI0000077,hsa-mir-21,AR,367,ENSG00000169083,androgen receptor,Activation,19738047,v22
miRNet-hsatf-38,MI0000292,hsa-mir-216a,AR,367,ENSG00000169083,androgen receptor,Activation,22392644,v22
miRNet-hsatf-39,MI0000085,hsa-mir-27a,AR,367,ENSG00000169083,androgen receptor,Activation(feedback),23451058,v22
miRNet-hsatf-40,MI0000090,hsa-mir-32,AR,367,ENSG00000169083,androgen receptor,Regulation,28598253,v22
miRNet-hsatf-41,MI0003514,hsa-mir-539,AR,367,ENSG00000169083,androgen receptor,Activation,27869170,v22
miRNet-hsatf-42,MI0000093,hsa-mir-92a-1,AR,367,ENSG00000169083,androgen receptor,Activation,27501757,v22
miRNet-hsatf-43,MI0000101,hsa-mir-99a,AR,367,ENSG00000169083,androgen receptor,Repression,23503464,v22
miRNet-hsatf-44,MI0000734,hsa-mir-106b,ARNT,405,ENSG00000143437,aryl hydrocarbon receptor nuclear translocator,Activation,24798859,v22
miRNet-hsatf-45,MI0000082,hsa-mir-25,ARNT,405,ENSG00000143437,aryl hydrocarbon receptor nuclear translocator,Activation,24798859,v22
miRNet-hsatf-46,MI0000095,hsa-mir-93,ARNT,405,ENSG00000143437,aryl hydrocarbon receptor nuclear translocator,Activation(feedback),24798859,v22
miRNet-hsatf-47,MI0000457,hsa-mir-141,ASCL2,430,ENSG00000183734,achaete-scute family bHLH transcription factor 2,Repression,25371200,v22
miRNet-hsatf-48,MI0000737,hsa-mir-200a,ASCL2,430,ENSG00000183734,achaete-scute family bHLH transcription factor 2,Repression,25371200,v22
miRNet-hsatf-49,MI0000342,hsa-mir-200b,ASCL2,430,ENSG00000183734,achaete-scute family bHLH transcription factor 2,Repression,25371200,v22
miRNet-hsatf-50,MI0000650,hsa-mir-200c,ASCL2,430,ENSG00000183734,achaete-scute family bHLH transcription factor 2,Repression,25371200,v22
miRNet-hsatf-51,MI0001641,hsa-mir-429,ASCL2,430,ENSG00000183734,achaete-scute family bHLH transcription factor 2,Repression,25371200,v22
miRNet-hsatf-52,MI0000783,hsa-mir-375,ASH1L,55870,ENSG00000116539,ASH1 like histone lysine methyltransferase,Activation,21856745,v22
miRNet-hsatf-53,MI0000281,hsa-mir-199a-2,ATF3,467,ENSG00000162772,activating transcription factor 3,Repression,27573019,v22
miRNet-hsatf-54,MI0003602,hsa-mir-590,ATF3,467,ENSG00000162772,activating transcription factor 3,Repression(feedback),25150595,v22
miRNet-hsatf-55,MI0000734,hsa-mir-106b,ATF4,468,ENSG00000128272,activating transcription factor 4,Repression,22739985,v22
miRNet-hsatf-56,MI0000082,hsa-mir-25,ATF4,468,ENSG00000128272,activating transcription factor 4,Repression(feedback),22739985,v22
miRNet-hsatf-57,MI0000095,hsa-mir-93,ATF4,468,ENSG00000128272,activating transcription factor 4,Repression,22739985,v22
miRNet-hsatf-58,MI0000471,hsa-mir-126,ATOH8,84913,ENSG00000168874,atonal bHLH transcription factor 8,Activation,27780851,v22
miRNet-hsatf-59,MI0000298,hsa-mir-221,ATOH8,84913,ENSG00000168874,atonal bHLH transcription factor 8,Repression,27780851,v22
miRNet-hsatf-60,MI0000298,hsa-mir-221,BANP,54971,ENSG00000172530,BTG3 associated nuclear protein,Repression,23876508,v22
miRNet-hsatf-61,MI0000299,hsa-mir-222,BANP,54971,ENSG00000172530,BTG3 associated nuclear protein,Repression,23876508,v22
miRNet-hsatf-62,MI0000735,hsa-mir-29c,BCL2L2,599,ENSG00000129473,BCL2 like 2,Activation(feedback),22850539,v22
miRNet-hsatf-63,MI0000681,hsa-mir-155,BCL6,604,ENSG00000113916,BCL6 transcription repressor,Repression(feedback),23166356,v22
miRNet-hsatf-64,MI0000760,hsa-mir-361,BCL6,604,ENSG00000113916,BCL6 transcription repressor,Repression,23166356,v22
miRNet-hsatf-65,MI0000681,hsa-mir-155,BCR,613,ENSG00000186716,BCR activator of RhoGEF and GTPase,Activation,18048365,v22
miRNet-hsatf-66,MI0000434,hsa-let-7i,BMI1,648,ENSG00000168283,"BMI1 proto-oncogene, polycomb ring finger",Repression,22407364,v22
miRNet-hsatf-67,MI0000457,hsa-mir-141,BMI1,648,ENSG00000168283,"BMI1 proto-oncogene, polycomb ring finger",Repression,27105531,v22
miRNet-hsatf-68,MI0000650,hsa-mir-200c,BMI1,648,ENSG00000168283,"BMI1 proto-oncogene, polycomb ring finger",Repression(feedback),27105531,v22
miRNet-hsatf-69,MI0000089,hsa-mir-31,BMI1,648,ENSG00000168283,"BMI1 proto-oncogene, polycomb ring finger",Repression,25737447,v22
miRNet-hsatf-70,MI0000080,hsa-mir-24-1,BMP2,650,ENSG00000125845,bone morphogenetic protein 2,Activation,19285018,v22
miRNet-hsatf-71,MI0000089,hsa-mir-31,BMP2,650,ENSG00000125845,bone morphogenetic protein 2,Activation,19285018,v22
miRNet-hsatf-72,MI0000461,hsa-mir-145,BMP4,652,ENSG00000125378,bone morphogenetic protein 4,Activation,21673106,v22
miRNet-hsatf-73,MI0000737,hsa-mir-200a,BMP4,652,ENSG00000125378,bone morphogenetic protein 4,Activation,20621051,v22
miRNet-hsatf-74,MI0000342,hsa-mir-200b,BMP4,652,ENSG00000125378,bone morphogenetic protein 4,Activation,20621051,v22
miRNet-hsatf-75,MI0000650,hsa-mir-200c,BMP4,652,ENSG00000125378,bone morphogenetic protein 4,Activation,20621051,v22
miRNet-hsatf-76,MI0000285,hsa-mir-205,BMP4,652,ENSG00000125378,bone morphogenetic protein 4,Activation,20621051,v22
miRNet-hsatf-77,MI0000077,hsa-mir-21,BMP6,654,ENSG00000153162,bone morphogenetic protein 6,Repression(feedback),19308091,v22
miRNet-hsatf-78,MI0000071,hsa-mir-17,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation,24068957,v22
miRNet-hsatf-79,MI0000072,hsa-mir-18a,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation,24068957,v22
miRNet-hsatf-80,MI0000073,hsa-mir-19a,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation,24068957,v22
miRNet-hsatf-81,MI0000074,hsa-mir-19b-1,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation,24068957,v22
miRNet-hsatf-82,MI0000076,hsa-mir-20a,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation,24068957,v22
miRNet-hsatf-83,MI0000077,hsa-mir-21,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Regulation,20130193,v22
miRNet-hsatf-84,MI0000093,hsa-mir-92a-1,BMPR1A,657,ENSG00000107779,bone morphogenetic protein receptor type 1A,Activation(feedback),24068957,v22
miRNet-hsatf-85,MI0000077,hsa-mir-21,BMPR1B,658,ENSG00000138696,bone morphogenetic protein receptor type 1B,Regulation,20130193,v22
miRNet-hsatf-86,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Activation(feedback),19190326,v22
miRNet-hsatf-87,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Regulation(feedback),22936386,v22
miRNet-hsatf-88,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Activation(feedback),25417703,v22
miRNet-hsatf-89,MI0003129,hsa-mir-146b,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Activation,19190326,v22
miRNet-hsatf-90,MI0000462,hsa-mir-152,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Regulation,22936386,v22
miRNet-hsatf-91,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Regulation,22936386,v22
miRNet-hsatf-92,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,BRCA1 DNA repair associated,Repression,25800897,v22
