Geneid	021_control	021_TGFb1	021_TGFb2	025_control	025_TGFb1	025_TGFb2	029_control	029_TGFb1	029_TGFb2	050_control	050_TGFb1	050_TGFb2	LGP3_control	LGP3_TGFb1	LGP3_TGFb2	LGP5_control	LGP5_TGFb1	LGP5_TGFb2
hsa-miR-6859-5p	36	12	12	12	35	8	12	8	20	8	4	4	24	32	12	16	16	0
hsa-miR-6859-3p	16	12	4	8	16	12	0	0	0	0	4	0	4	0	4	12	8	8
hsa-miR-1302	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-12136	3804	3351	2680	4815	1861	5443	3342	2370	3513	2148	2282	2742	2288	3207	2460	1664	1568	1552
hsa-miR-200b-5p	0	0	0	1	1	0	0	2	0	0	0	0	2	0	1	0	0	3
hsa-miR-200b-3p	23	47	30	17	37	34	52	46	37	21	38	24	67	42	69	59	38	60
hsa-miR-200a-5p	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-200a-3p	33	33	17	20	30	21	41	23	28	25	36	27	48	16	42	57	35	31
hsa-miR-429	5	5	6	6	0	5	3	8	7	3	11	11	21	5	12	11	11	5
hsa-miR-6726-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
hsa-miR-6726-3p	1	1	0	10	2	2	9	1	4	1	2	3	7	5	1	5	6	9
hsa-miR-6727-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-3p	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-6808-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6808-3p	1	1	1	6	4	3	0	3	6	2	7	3	3	3	4	2	0	0
hsa-miR-4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551a	20	3	38	20	1	3	2	3	2	106	74	126	29	2	41	6	3	2
hsa-miR-4689	0	2	1	0	0	4	2	0	4	0	0	0	0	0	0	1	0	0
hsa-miR-4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-5p	0	1	2	1	0	2	0	0	0	0	1	1	1	2	1	0	0	1
hsa-miR-6728-3p	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
hsa-miR-34a-5p	65049	54173	77274	34193	44400	27361	83381	36783	71688	96548	100695	118235	102181	41040	120179	65056	53328	56465
hsa-miR-34a-3p	125	117	150	57	101	43	119	51	86	180	184	329	175	68	179	89	77	76
hsa-miR-5697	4	1	0	2	7	4	2	0	4	2	2	4	2	6	2	1	1	3
hsa-miR-6729-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6729-3p	3	0	0	0	0	2	2	0	0	2	1	0	1	0	1	1	0	0
hsa-miR-7846-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4632-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4632-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-5p	2	5	0	1	0	0	4	0	2	1	2	2	0	1	2	0	0	1
hsa-miR-6730-3p	2	2	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
hsa-miR-3675-5p	0	4	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-3675-3p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-3972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
