gene_id	gene_symbol	TM_C_1	TM_C_2	TM_C_3	TM_C_4	TM_C_5	TM_T_1	TM_T_2	TM_T_3	TM_T_4	TM_T_5
ENSG00000223972.5	DDX11L1	2	1	1	0	0	2	0	1	0	0
ENSG00000227232.5	WASH7P	57	55	47	51	57	49	72	40	26	70
ENSG00000278267.1	MIR6859-1	18	7	21	9	10	6	17	7	2	4
ENSG00000243485.5	MIR1302-2HG	0	2	0	0	0	0	2	0	2	1
ENSG00000284332.1	MIR1302-2	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	FAM138A	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	OR4G4P	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.2	OR4G11P	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.6	OR4F5	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	AL627309.1	0	0	1	3	0	0	0	0	1	0
ENSG00000239945.1	AL627309.3	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	CICP27	1	0	0	0	0	0	2	0	1	0
ENSG00000268903.1	AL627309.6	0	15	3	0	5	0	31	3	0	7
ENSG00000269981.1	AL627309.7	0	19	1	0	11	0	18	3	0	2
ENSG00000239906.1	AL627309.2	0	0	0	0	0	0	0	0	0	0
ENSG00000241860.7	AL627309.5	1	10	6	3	5	1	11	12	2	4
ENSG00000222623.1	RNU6-1100P	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	AL627309.4	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	FO538757.1	0	2	3	1	0	0	1	0	0	0
ENSG00000279457.4	WASH9P	101	139	91	73	103	91	148	64	76	134
ENSG00000273874.1	MIR6859-2	0	0	0	0	0	0	1	0	0	0
ENSG00000228463.10	AP006222.1	23	4	12	18	10	20	6	14	19	2
ENSG00000286448.1	AP006222.2	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	RPL23AP24	0	3	0	0	2	1	0	2	0	0
ENSG00000236601.2	AL732372.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237094.12	AL732372.2	1	8	0	3	3	4	3	6	1	4
ENSG00000269732.1	WBP1LP7	0	0	0	0	0	0	0	0	0	0
ENSG00000284733.1	OR4F29	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	CICP7	0	0	0	0	0	0	0	0	0	0
ENSG00000250575.1	AL732372.3	0	0	0	0	0	0	0	0	0	0
ENSG00000278757.1	U6	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.10	AL669831.3	0	5	1	1	0	5	7	8	3	3
ENSG00000235146.2	AC114498.1	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	MTND1P23	41	28	62	37	36	24	36	29	34	34
ENSG00000225630.1	MTND2P28	65	51	109	80	79	44	55	2497	90	68
ENSG00000237973.1	MTCO1P12	4365	3441	5889	3448	2002	1974	3967	3230	2309	3578
ENSG00000278791.1	AC114498.2	0	0	0	0	0	0	0	0	0	0
ENSG00000229344.1	MTCO2P12	163	146	357	158	88	71	128	201	127	152
ENSG00000240409.1	MTATP8P1	0	1	1	1	0	1	0	0	0	0
ENSG00000248527.1	MTATP6P1	4735	4520	8378	4988	2946	3093	5038	4465	3868	4387
ENSG00000198744.5	MTCO3P12	173	146	247	170	111	78	143	117	123	139
ENSG00000268663.1	WBP1LP6	0	0	0	0	0	0	0	0	0	0
ENSG00000284662.1	OR4F16	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	CICP3	2	0	0	0	0	0	0	3	1	3
ENSG00000228327.3	AL669831.1	33	30	21	33	19	24	41	46	16	30
ENSG00000223181.1	RNU6-1199P	0	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	AL669831.2	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.10	LINC01409	14	8	14	8	7	5	6	18	12	8
ENSG00000285268.1	AL669831.6	0	0	0	0	0	0	0	0	0	0
ENSG00000230092.7	AL669831.4	1	1	0	2	4	4	0	7	3	4
ENSG00000177757.2	FAM87B	17	0	2	2	2	12	1	0	6	1
ENSG00000228794.10	LINC01128	450	567	527	250	464	545	385	644	438	502
ENSG00000225880.5	LINC00115	10	12	7	9	8	7	0	10	17	6
ENSG00000288531.1	AL669831.7	5	0	6	0	0	0	0	3	0	2
ENSG00000230368.2	FAM41C	0	0	1	0	0	1	0	2	1	0
ENSG00000234711.1	TUBB8P11	0	0	0	0	0	0	0	0	0	0
ENSG00000283040.1	AL669831.5	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	AL645608.6	12	1	0	1	0	8	0	6	2	0
ENSG00000230699.2	AL645608.2	36	8	1	3	0	14	0	30	8	14
ENSG00000241180.1	AL645608.4	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	LINC02593	328	51	39	40	116	278	75	933	231	584
ENSG00000187634.12	SAMD11	367	20	34	40	123	414	64	1902	286	1044
ENSG00000188976.11	NOC2L	1623	1885	2279	2500	1939	2791	1665	2735	2557	2179
ENSG00000187961.14	KLHL17	458	201	252	390	275	517	325	550	486	489
ENSG00000187583.11	PLEKHN1	45	12	30	86	41	94	20	148	91	131
ENSG00000187642.9	PERM1	3	0	1	0	2	1	0	0	5	2
ENSG00000272512.1	AL645608.7	5	0	5	15	5	13	2	1	6	1
ENSG00000188290.11	HES4	421	472	484	330	1046	721	585	654	491	862
ENSG00000187608.10	ISG15	1650	1097	1183	2931	2474	3262	2542	962	4572	690
ENSG00000231702.2	AL645608.3	0	0	2	1	0	0	0	0	0	2
ENSG00000224969.1	AL645608.1	6	3	3	1	2	3	2	4	2	3
